id_1,rede_1,nome_1,id_2,rede_2,nome_2,distancia_km,estado
42,Bluefit,Centro 1,2055,Panobianco,REPÚBLICA,0.928,São Paulo
43,Bluefit,Diadema,723,Smartfit,Shopping Praça da Moça,0.263,São Paulo
43,Bluefit,Diadema,1524,Skyfit,DIADEMA (SP),0.399,São Paulo
44,Bluefit,Perdizes,598,Smartfit,Higienópolis,0.757,São Paulo
44,Bluefit,Perdizes,606,Smartfit,Barra Funda,0.614,São Paulo
45,Bluefit,Frei Caneca,388,BodyTech,FREI CANECA,0.587,São Paulo
45,Bluefit,Frei Caneca,402,BodyTech,JARDINS - CONSOLAÇÃO,0.974,São Paulo
45,Bluefit,Frei Caneca,586,Smartfit,Augusta,0.203,São Paulo
45,Bluefit,Frei Caneca,588,Smartfit,Avenida Angélica,0.658,São Paulo
45,Bluefit,Frei Caneca,589,Smartfit,Baixo Augusta,0.387,São Paulo
45,Bluefit,Frei Caneca,591,Smartfit,Alameda Santos,0.82,São Paulo
45,Bluefit,Frei Caneca,592,Smartfit,Bela Vista II,0.621,São Paulo
46,Bluefit,Saúde,644,Smartfit,Mirandópolis,0.751,São Paulo
46,Bluefit,Saúde,2095,Panobianco,SAÚDE,0.571,São Paulo
48,Bluefit,Pinheiros,600,Smartfit,Teodoro Sampaio,0.95,São Paulo
49,Bluefit,Hélio Pellegrino,196,Selfit,ARAPANÉS,0.998,São Paulo
49,Bluefit,Hélio Pellegrino,613,Smartfit,Clodomiro Amazonas II,0.908,São Paulo
49,Bluefit,Hélio Pellegrino,619,Smartfit,Canário,0.588,São Paulo
49,Bluefit,Hélio Pellegrino,625,Smartfit,Bem-te-vi,0.907,São Paulo
50,Bluefit,Vila Olímpia,384,BodyTech,COMPLEXO JK,0.917,São Paulo
50,Bluefit,Vila Olímpia,618,Smartfit,Gomes de Carvalho,0.324,São Paulo
51,Bluefit,Brooklin,411,BodyTech,MORUMBI - MARKET PLACE,0.504,São Paulo
53,Bluefit,Leopoldina,640,Smartfit,Imperatriz Leopoldina,0.321,São Paulo
53,Bluefit,Leopoldina,648,Smartfit,Guaipá,0.912,São Paulo
54,Bluefit,Butantã,634,Smartfit,Av. Prof. Francisco Morato,0.142,São Paulo
54,Bluefit,Butantã,636,Smartfit,Butantã Shopping,0.62,São Paulo
55,Bluefit,Shopping Continental,674,Smartfit,Pátio Osasco,0.733,São Paulo
57,Bluefit,Osasco,680,Smartfit,União Osasco,0.833,São Paulo
57,Bluefit,Osasco,693,Smartfit,Primitiva,0.755,São Paulo
57,Bluefit,Osasco,1784,Skyfit,VILA YARA – OSASCO (SP),0.517,São Paulo
58,Bluefit,KM 18,710,Smartfit,Osasco KM 18,0.573,São Paulo
58,Bluefit,KM 18,1611,Skyfit,KM18 – OSASCO (SP),0.634,São Paulo
59,Bluefit,Novo Osasco,2144,Panobianco,VELOSO,0.769,São Paulo
61,Bluefit,XV de Novembro,810,Smartfit,Leroy Jundiaí,0.857,São Paulo
62,Bluefit,Carapicuíba,741,Smartfit,Vila Dirce,0.242,São Paulo
63,Bluefit,Granja Viana,1557,Skyfit,GRANJA VIANA – CARAPICUIBA (SP),0.795,São Paulo
64,Bluefit,Av. 9 de Julho,811,Smartfit,Jundiaí Shopping,0.551,São Paulo
66,Bluefit,Cotia,1885,Panobianco,COTIA,0.136,São Paulo
68,Bluefit,Sumaré,1594,Skyfit,JATOBÁ (SP),0.917,São Paulo
68,Bluefit,Sumaré,1745,Skyfit,SUMARÉ (SP),0.901,São Paulo
68,Bluefit,Sumaré,2119,Panobianco,SUMARÉ CENTRO,0.7,São Paulo
70,Bluefit,Av. Moreira César,1744,Skyfit,SOROCABA – SHOP PANORÂMICO (SP),0.535,São Paulo
71,Bluefit,Campolim 1,440,BodyTech,IGUATEMI ESPLANADA,0.486,São Paulo
74,Bluefit,São Carlos,1721,Skyfit,SÃO CARLOS (SP),0.33,São Paulo
76,Bluefit,Apogeo,329,Selfit,PRESIDENTE VARGAS,0.738,São Paulo
76,Bluefit,Apogeo,892,Smartfit,Trio,0.299,São Paulo
78,Bluefit,Campos Elíseos - Pré Venda,1698,Skyfit,RIBEIRÃO PRETO (SP),0.642,São Paulo
83,Bluefit,Bauru,888,Smartfit,Av. Getúlio Vargas I,0.915,São Paulo
87,Bluefit,Andaló,2108,Panobianco,SJ RIO PRETO CENTRO,0.814,São Paulo
88,Bluefit,Curitiba - Centro,89,Bluefit,Batel,0.842,Paraná
88,Bluefit,Curitiba - Centro,427,BodyTech,SHOPPING CRYSTAL,0.303,Paraná
88,Bluefit,Curitiba - Centro,920,Smartfit,Shopping Curitiba,0.37,Paraná
89,Bluefit,Batel,427,BodyTech,SHOPPING CRYSTAL,0.633,Paraná
89,Bluefit,Batel,920,Smartfit,Shopping Curitiba,0.714,Paraná
91,Bluefit,Portão,92,Bluefit,Palladium,0.887,Paraná
93,Bluefit,Joinville,1035,Smartfit,Bucarein,0.968,Santa Catarina
95,Bluefit,Marília,1626,Skyfit,MARÍLIA (SP),0.019,São Paulo
106,Bluefit,Gama,119,Bluefit,Planaltina,0.0,Distrito Federal
106,Bluefit,Gama,1225,Smartfit,Sobradinho Central,0.009,Distrito Federal
106,Bluefit,Gama,1680,Skyfit,PLANALTINA – BRASÍLIA (DF),0.009,Distrito Federal
107,Bluefit,Formosa,1539,Skyfit,FORMOSA (GO),0.15,Goiás
108,Bluefit,Lago,405,BodyTech,LAGO SUL - SET. CLUBES,0.0,Distrito Federal
111,Bluefit,513 SUL,371,BodyTech,ASA SUL,0.627,Distrito Federal
111,Bluefit,513 SUL,1197,Smartfit,Dom Bosco,0.977,Distrito Federal
112,Bluefit,502 Sul,1198,Smartfit,Venâncio Shopping,0.668,Distrito Federal
113,Bluefit,Guará,1185,Smartfit,Guará II Unidade 2,0.0,Distrito Federal
113,Bluefit,Guará,1188,Smartfit,Guará II Unidade 3,0.666,Distrito Federal
114,Bluefit,Asa Norte,1203,Smartfit,Shopping ID,0.465,Distrito Federal
117,Bluefit,Águas Claras,123,Bluefit,Águas Claras III,0.592,Distrito Federal
117,Bluefit,Águas Claras,1193,Smartfit,Águas Claras IV,0.538,Distrito Federal
117,Bluefit,Águas Claras,1195,Smartfit,DF Plaza Shopping,0.876,Distrito Federal
119,Bluefit,Planaltina,1225,Smartfit,Sobradinho Central,0.009,Distrito Federal
119,Bluefit,Planaltina,1680,Skyfit,PLANALTINA – BRASÍLIA (DF),0.009,Distrito Federal
120,Bluefit,Águas Claras II,1187,Smartfit,Manhattan Shopping,0.994,Distrito Federal
120,Bluefit,Águas Claras II,1189,Smartfit,Águas Claras VI - Rua Manacá,0.562,Distrito Federal
120,Bluefit,Águas Claras II,1190,Smartfit,Águas Claras I,0.459,Distrito Federal
120,Bluefit,Águas Claras II,1192,Smartfit,Águas Claras V,0.352,Distrito Federal
121,Bluefit,Taguatinga Sul,1186,Smartfit,Atacadão Taguatinga Sul,0.643,Distrito Federal
122,Bluefit,Samambaia,1180,Smartfit,Samambaia IV,0.653,Distrito Federal
125,Bluefit,Alto da Glória,1780,Skyfit,VILA PEDROSO (GO),0.608,Goiás
126,Bluefit,Alto Bueno T4,130,Bluefit,Av. 85,0.314,Goiás
126,Bluefit,Alto Bueno T4,1142,Smartfit,Goiânia Alto Bueno,0.0,Goiás
126,Bluefit,Alto Bueno T4,1555,Skyfit,GOIÂNIA 3 – AV T-63 (GO),0.693,Goiás
127,Bluefit,Asa Norte 516,370,BodyTech,ASA NORTE,0.692,Distrito Federal
127,Bluefit,Asa Norte 516,1214,Smartfit,712 Norte,0.413,Distrito Federal
128,Bluefit,Jardim Goiás,1143,Smartfit,Flamboyant,0.785,Goiás
129,Bluefit,Taguatinga,1200,Smartfit,Taguatinga Norte,0.822,Distrito Federal
129,Bluefit,Taguatinga,1228,Smartfit,Brazlândia,0.544,Distrito Federal
130,Bluefit,Av. 85,1142,Smartfit,Goiânia Alto Bueno,0.314,Goiás
130,Bluefit,Av. 85,1555,Skyfit,GOIÂNIA 3 – AV T-63 (GO),0.988,Goiás
132,Bluefit,T8,1150,Smartfit,Goiânia Baixo Bueno,0.906,Goiás
133,Bluefit,Praça do Sol,134,Bluefit,República do Líbano,0.771,Goiás
133,Bluefit,Praça do Sol,409,BodyTech,MARISTA,0.784,Goiás
133,Bluefit,Praça do Sol,1151,Smartfit,Setor Oeste,0.708,Goiás
